code,item,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
0114201,Mléko polotučné pasterované [1 l],16.73,16.71,17.55,17.82,17.97,17.48,17.94,17.8,17.47,17.81,18.07,18.41,19.09,18.27,19.18,18.79,19.72,19.07,18.55,18.68,18.43,19.17,18.37,18.3,19.34,19.3,19.35,19.14,18.67,19.14,19.33,19.14,19.16,19.54,19.48,20.53,19.81,19.88,21.05,21.22,21.04,20.99,21.16,20.75,20.1,21.14,20.81,20.44,20.21,20.99,20.64,20.5,20.3,19.82,18.55,18.92,18.89,19.4,18.52,17.74,19.02,18.56,17.49,18.48,17.69,17.3,16.83,17.65,17.23829365,17.77,18.22,18.49,18.64,19.22,18.95,19.71,18.74,19.44511905,19.43,19.94,19.66,19.72,20.35,20.13,20.32,20.42,19.46,19.71,19.73,19.28,20.22,20.08,20.18,19.44,19.44,19.55,18.89,20.03,19.87,19.51,20.69,19.57,19.95,20.22,19.91,20.06,20.7,20.95,19.37,20.45,20.98,19.96,20.65,20.27,19.51,19.35,19.77,19.5,19.77,18.98,19.9,19.35,19.75,19.03,19.3,19.68,19.81,19.99,19.97,20.43,20.48,20.14,20.82,21.43,20.98,21.34,21.72,23.32,24.02,24.49,24.1,25.09,25.58,25.82,27.19,27.54,27.66,27.82,26.83,27.63,26.27,26.63,25.88,25.65,25.23,25.06,24.09,24.89,24.72,23.85,23.95,24.36,25.15,24.95,25.09,25.54,25.75,25.79,26.13,25.96,26.48,26.58,27.08,26.51,27.36,26.84,27.12,27.8,27.36,26.8
0114501,Eidamská cihla [1 kg],121.29,123.15,115.54,123.98,125.41,123.7,122.28,123.95,122.92,121.24,119.98,125.16,126.48,131.99,131.93,128.77,120.15,127.38,126.84,127.9,127.25,125.81,131.2,131.25,130.34,126.94,133.04,132.79,133.31,134.29,135.95,149.18,151.68,150.93,160.75,164.43,164.65,165.75,161.45,162.61,158.09,145.37,144.82,142.79,147.34,145.26,138.99,130.19,128.62,127.95,132.86,126.45,128.29,126.3,115.87,113.5,110.93,109.81,105.02,107.05,106.32,106.41,100.24,104.31,100.17,92.92,100.52,107.7,112.55485714,120.73,138.48,140.39,137.96,138.2,138.6,130.75,129.4,133.50216667,141.51,146.53,152.64,156.1,154.65,151.14,140.31,142.49,136.62,134.25,136.56,139.19,137.56,140.93,144.21,156.9,155.6,144.83,145.01,136.61,139.1,137.14,140.71,139.76,139.27,138.69,144.72,146.67,147.46,142.96,148.06,149.75,155.16,148.27,153.91,150.69,140.73,151.08,151.55,157.57,157.81,150.95,151.29,158.21,156.06,151.96,154.58,161.33,163.31,157.08,160.57,154.26,168.86,167.13,183.3,190.5,191.36,184.99,201.06,207.85,208.24,215.55,214.27,221.8,215.85,215.73,228.37,210.65,200.0,196.91,194.72,183.24,184.41,179.49,180.47,177.02,183.75,188.8,183.57,180.2,175.64,180.95,178.87,183.95,189.24,191.06,181.56,202.45,202.94,209.73,200.31,211.15,205.65,192.17,206.51,213.4,202.93,201.89,207.37,198.08,207.44,187.99
0114401,Jogurt bílý netučný [150 g],6.32,6.33,6.45,6.48,6.32,6.45,6.49,6.62,6.48,6.56,6.58,7.1,7.21,7.22,7.13,7.14,7.2,7.04,7.3,7.2,7.21,6.87,7.08,7.32,7.2,7.48,7.53,7.56,7.39,7.5,7.55,7.98,7.85,7.9,8.0,8.43,8.58,8.71,8.62,8.71,8.78,8.3,8.25,8.41,8.43,8.13,8.52,8.53,8.5,8.35,8.39,8.23,8.44,8.41,8.47,8.79,8.74,8.77,8.62,8.56,8.37,8.49,8.27,8.31,8.13,8.2,8.11,8.05,8.03963095,7.68,7.84,7.88,8.2,8.24,8.84,8.68,8.53,8.45913492,8.93,8.88,9.01,8.7,9.1,9.15,9.45,9.44,9.58,9.3,9.16,9.15,9.3,9.32,9.08,9.13,8.7,8.45,8.78,8.89,8.82,8.84,8.92,9.26,8.98,9.38,9.03,8.89,9.31,9.03,9.07,8.97,9.48,9.13,9.3,8.79,9.56,9.19,9.18,9.5,9.11,8.93,8.41,9.12,9.53,8.98,9.09,9.59,8.87,9.19,9.57,9.22,10.05,9.37,9.91,10.56,10.1,10.95,10.08,10.44,10.6,10.33,11.12,11.39,11.95,12.2,11.63,12.43,11.25,11.41,11.95,12.5,12.27,11.88,12.31,12.01,11.51,11.63,11.56,11.24,10.35,10.66,10.62,11.57,11.62,11.21,11.65,10.52,10.56,11.3,11.82,11.71,11.7,11.99,12.18,11.56,12.59,10.62,11.37,11.57,11.87,11.41
0114701,Vejce slepičí čerstvá [10 ks],21.82,21.73,22.42,24.68,23.28,22.41,21.31,21.23,23.4,25.13,25.17,25.95,27.43,30.64,51.13,41.09,37.22,36.29,35.22,34.43,34.0,35.31,35.04,33.26,35.69,35.65,35.55,33.23,30.21,28.25,27.31,27.01,26.78,27.57,28.88,29.71,30.35,30.28,30.78,29.56,30.28,30.52,29.94,30.93,30.17,31.81,33.44,33.08,33.44,32.96,33.54,32.18,33.31,30.99,30.98,29.08,28.89,29.0,29.68,29.68,29.81,29.67,28.81,29.24,28.86,27.14,27.71,25.25,25.94498016,26.99,31.49,32.91,34.06,33.64,32.73,33.5,33.13,32.76886111,34.2,33.28,32.39,36.28,50.12,49.93,46.54,42.01,37.81,38.22,37.34,38.8,36.87,36.42,38.05,35.62,37.02,36.0,34.51,34.62,33.24,33.16,32.14,31.01,30.45,30.71,31.07,30.45,31.94,32.65,33.21,31.41,31.74,31.75,31.05,32.16,31.93,30.96,31.12,29.16,30.94,31.97,32.09,30.4,31.03,31.75,30.36,29.43,30.5,31.25,30.51,29.91,33.86,33.61,35.86,35.01,35.97,37.69,39.82,41.26,40.26,39.53,41.29,47.85,58.55,59.01,61.36,62.64,60.28,58.59,59.51,57.42,54.54,52.68,45.58,48.37,50.73,48.91,46.58,46.34,45.68,43.32,44.72,44.61,45.77,42.51,42.14,49.34,64.81,63.95,63.99,62.31,68.13,68.97,68.32,66.7,60.23,60.98,63.72,67.19,73.43,78.29
0115101,Máslo [1 kg],133.9,135.1,133.72,135.91,139.19,139.42,141.04,139.95,142.06,143.85,142.01,144.11,146.03,144.68,142.27,134.5,132.75,130.9,131.82,129.62,122.64,140.02,145.82,143.35,146.89,145.33,144.91,145.15,152.51,154.69,156.27,155.93,161.69,164.73,164.62,164.92,165.26,169.74,164.71,162.38,162.52,162.56,161.66,159.59,162.11,162.38,162.82,159.93,161.1,160.55,164.26,162.18,162.61,156.11,159.06,154.45,156.3,150.59,152.27,144.95,147.06,142.13,136.89,140.87,140.04,134.22,140.67,144.9,148.76634921,161.83,171.29,171.43,172.99,172.69,175.62,169.77,167.98,187.46126984,201.05,209.41,229.71,241.99,226.96,217.85,203.21,194.55,193.22,184.75,197.63,207.24,217.29,218.16,220.64,225.02,217.19,206.12,208.78,201.01,206.56,195.14,191.7,195.81,192.31,194.64,183.51,197.2,192.4,188.35,193.52,187.25,190.98,183.71,180.92,181.33,177.11,179.88,186.58,192.22,190.21,184.49,188.26,186.25,184.89,179.51,190.36,189.63,187.09,184.16,192.92,187.71,213.68,212.79,214.95,204.76,220.07,227.2,242.82,245.63,249.54,258.8,261.06,265.87,267.94,259.17,263.67,231.43,211.17,203.05,203.45,196.36,197.01,192.36,197.95,205.2,209.81,218.44,208.02,196.5,202.45,206.39,208.35,213.45,222.11,228.21,247.29,275.06,283.76,286.54,286.68,277.64,265.46,266.74,254.76,267.47,264.62,269.9,263.3,258.65,249.4,238.37
0111201,Pšeničná mouka hladká [1 kg],10.75,11.27,11.29,11.44,11.85,11.83,11.68,11.14,11.37,11.44,11.66,11.57,11.61,11.44,11.44,10.66,10.66,10.61,10.65,11.28,11.71,12.69,12.77,12.82,13.24,13.31,13.47,13.55,13.65,13.51,13.12,13.71,13.51,13.31,13.03,12.65,13.27,13.12,13.37,13.15,12.64,13.4,13.07,13.31,13.36,13.16,13.22,12.32,12.75,13.17,13.29,13.21,12.75,13.42,12.72,12.59,12.11,12.35,11.38,11.33,11.27,10.84,11.1,11.47,11.19,11.35,11.3,10.7,11.35234127,10.93,10.75,10.06,11.37,11.66,11.13,10.93,11.36,11.02515873,11.29,11.29,11.71,12.04,11.72,11.63,11.83,11.94,11.83,12.11,11.33,10.84,11.58,11.24,11.46,11.15,10.83,11.1,10.92,11.7,11.76,10.75,10.94,11.21,11.06,11.43,11.43,11.47,11.93,11.47,11.8,11.49,12.0,12.77,12.6,12.72,12.63,12.45,12.74,12.19,12.61,12.17,12.51,12.86,12.82,12.81,12.78,13.28,13.55,13.51,13.1,13.38,14.36,14.31,15.46,16.15,17.39,20.86,21.84,23.08,23.27,22.96,23.25,23.51,23.48,22.72,24.17,24.32,23.84,24.08,22.94,23.5,22.31,21.8,21.02,20.89,20.7,19.56,20.4,20.4,19.75,21.14,19.18,18.32,19.07,19.28,18.87,18.97,17.43,16.55,18.44,17.86,17.56,17.4,17.75,17.33,17.25,18.73,19.1,18.71,18.77,17.48
0111301,Chléb konzumní kmínový [1 kg],19.21,19.18,19.14,19.62,22.66,22.76,22.19,22.75,23.0,22.98,23.03,23.05,22.76,22.75,23.36,23.33,22.75,22.76,22.54,22.71,22.75,22.74,23.27,23.24,22.95,22.52,23.38,23.4,23.39,23.02,23.24,23.2,23.14,23.0,23.11,23.11,23.04,23.05,23.16,23.11,23.24,22.71,22.97,23.07,22.47,23.05,23.06,23.07,22.99,22.93,23.03,22.51,22.7,22.42,22.77,22.05,22.08,22.01,22.01,21.84,21.79,21.73,21.4,21.73,21.75,21.32,21.77,21.77,21.74984325,21.78,21.67,22.8,22.87,22.58,24.15,24.64,24.6,24.60709921,24.55,24.6,24.51,23.5,24.71,24.75,24.76,24.83,24.86,24.27,24.18,24.22,24.35,24.13,23.69,23.57,23.26,24.74,24.49,24.64,25.86,25.8,25.42,25.23,25.19,25.0,25.15,25.42,25.43,25.47,25.63,25.64,25.68,26.72,26.68,26.74,26.7,25.7,27.0,25.58,26.44,26.46,26.48,26.35,26.07,26.09,25.75,25.59,25.56,26.0,26.51,26.73,26.89,27.02,30.34,30.71,31.14,34.84,35.15,35.68,35.94,35.92,37.51,39.64,39.7,39.73,39.77,39.8,39.85,39.84,39.69,39.7,39.87,39.88,39.56,39.6,39.84,39.87,38.74,38.58,38.56,38.12,38.04,38.06,38.11,38.14,38.22,38.21,38.54,38.33,38.39,38.45,38.55,40.22,40.0,39.87,39.88,40.06,40.03,40.11,39.88,40.06
0111303,Pečivo pšeničné bílé [1 kg],37.63,37.58,37.67,38.32,45.78,45.95,45.94,46.06,46.07,46.02,46.03,45.92,45.45,45.51,46.07,44.12,43.17,43.13,42.89,41.85,42.11,42.01,43.61,44.11,45.53,44.04,44.02,42.01,41.39,41.27,40.98,40.99,41.08,40.55,40.97,40.93,40.82,40.71,40.83,40.25,41.76,40.92,40.53,40.74,40.49,39.09,40.34,39.96,38.87,39.93,40.19,40.73,38.12,40.01,38.66,39.36,39.55,39.29,39.42,39.43,39.43,40.61,40.48,40.97,40.64,40.58,40.58,40.57,40.52676984,40.55,40.5,44.66,42.72,45.25,45.22,45.32,45.45,45.47615079,45.39,45.46,45.28,45.71,45.66,45.87,45.94,44.22,44.2,41.92,43.68,44.1,44.12,45.18,41.97,42.54,42.82,45.34,43.85,44.16,47.44,47.26,47.01,47.37,47.33,45.7,46.92,47.25,47.48,46.05,47.89,46.38,46.7,47.53,47.64,47.71,47.48,46.45,46.52,46.57,46.49,46.23,45.81,44.75,46.15,46.45,46.26,46.12,46.78,47.73,47.71,48.38,48.58,48.69,54.89,55.66,56.43,60.84,61.62,62.1,62.19,62.27,65.35,69.61,70.07,70.53,70.49,70.57,70.41,70.37,70.46,70.46,70.56,70.14,70.49,70.55,70.53,70.39,67.64,67.04,67.09,66.81,67.12,68.19,68.12,67.36,67.92,67.66,67.74,67.97,67.94,67.8,68.27,68.74,69.34,70.06,70.23,70.23,70.23,70.31,70.01,70.34
0118101,Cukr krystalový [1 kg],17.44,19.05,19.19,22.81,22.96,23.84,24.15,23.45,24.03,23.21,24.43,24.85,23.76,24.75,24.97,23.84,24.46,24.62,24.31,24.41,24.44,23.88,23.47,24.29,24.34,24.51,24.56,24.41,23.66,23.89,24.05,24.24,23.93,24.31,23.93,24.04,24.27,24.02,23.9,23.09,23.29,22.63,21.72,21.62,20.97,19.67,19.72,19.4,19.46,20.12,19.36,19.49,19.09,17.45,17.48,17.62,16.65,16.04,15.17,15.64,15.66,15.62,16.06,16.48,16.64,16.72,17.86,18.23,18.70138889,19.32,19.42,20.34,20.04,20.54,20.36,19.97,19.83,20.1018254,20.26,20.61,20.23,20.4,19.44,17.75,18.73,18.73,19.26,18.13,17.26,17.04,14.7,13.74,12.51,13.91,12.87,12.12,13.13,13.11,13.27,12.66,13.5,12.69,11.47,12.64,12.22,12.89,14.4,14.72,15.1,14.75,15.66,15.37,15.54,15.71,14.98,14.88,15.84,14.86,15.7,15.48,15.63,15.79,15.55,15.77,15.34,15.27,14.84,15.34,15.92,15.45,17.25,17.39,18.59,19.02,19.72,19.17,20.55,20.24,20.85,20.9,21.39,34.53,34.63,35.83,35.16,34.05,33.23,35.34,31.92,33.32,34.79,34.24,32.9,31.77,30.21,29.96,29.9,28.74,28.42,28.84,26.55,26.47,27.19,25.33,26.1,22.73,21.47,20.64,20.77,20.52,20.31,19.59,19.2,18.02,19.62,19.27,19.41,19.35,20.97,21.04
0213201,"Pivo výčepní, světlé, lahvové [0,5 l]",10.19,10.22,10.13,10.05,10.13,9.98,10.12,10.13,10.0,10.0,9.87,9.81,10.04,9.99,9.92,10.21,10.05,10.06,10.13,9.88,10.0,10.55,10.6,10.47,10.71,10.46,10.62,10.86,10.72,10.52,10.42,10.42,10.12,10.74,10.44,10.56,10.84,10.76,10.49,10.48,10.87,10.53,10.8,10.83,10.63,10.8,10.14,10.42,11.02,10.57,10.85,10.62,10.37,10.97,10.9,10.77,10.63,10.58,10.37,10.57,11.16,11.32,11.29,11.63,11.05,10.92,11.06,11.33,11.03650794,11.28,11.42,11.32,11.4,10.76,11.32,11.6,10.9,10.73869048,11.4,11.71,11.25,11.56,11.34,11.57,11.94,11.79,11.92,11.84,11.93,11.62,11.69,11.58,11.58,12.24,11.83,11.77,12.11,11.8,11.91,11.35,12.29,11.41,11.73,11.53,11.42,11.77,12.1,12.43,12.43,12.07,12.55,12.18,12.41,12.45,12.89,12.7,13.13,12.23,12.75,12.67,12.88,13.1,12.81,12.67,12.8,12.53,12.36,12.57,12.77,12.47,12.68,12.62,12.82,13.02,12.93,12.57,12.88,12.88,13.05,12.93,12.89,13.56,13.71,13.79,13.76,14.38,13.66,14.47,14.17,13.83,13.91,14.16,14.51,14.15,14.93,14.86,14.6,15.23,14.97,15.2,14.98,15.39,14.91,15.33,15.15,14.92,15.22,14.94,14.73,15.37,14.6,14.49,14.29,14.96,15.23,15.01,15.13,14.79,14.73,14.62
